PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
241,161,0.03505508115,0.1327894529,1
241,177,-0.06044014286,0.3624094328,1
241,193,-0.08471878363,0.3314741453,1
241,209,-0.09248169258,0.2371557554,1
241,225,-0.1117230256,0.1818731626,1
241,241,-0.1059399446,0.08929045992,1
241,257,-0.1097946962,0.06607039765,1
241,273,-0.213041385,-0.03524414705,1
241,289,-0.2187577089,-0.1161214512,1
241,305,0.03235046066,-0.1721040409,1
241,321,0.05235091842,-0.1156694096,1
241,337,0.07675162947,-0.2869207066,1
241,353,0.1376208464,-0.3683168095,1
241,369,0.04960815108,-0.1247102421,1
241,385,0.01147452987,-0.03314034163,1
241,401,0.08148376143,0.01276191056,1
257,17,-0.04670341793,-0.05606094996,1
257,33,-0.0592995483,-0.2929631869,1
257,49,-0.03644188229,-0.3672963778,1
257,65,-0.01219185177,-0.2001115481,1
257,81,0.02187720951,-0.4548112551,1
257,97,0.0638884705,-0.08028999964,1
257,113,0.07033149417,-0.04563538233,1
257,129,0.03808395083,5.896886406e-05,1
257,145,0.05137817079,0.06660636266,1
257,161,0.002462307741,0.3194788297,1
257,177,-0.06283958742,0.4470327695,1
257,193,-0.03396042179,0.500207742,1
257,209,-0.1166802247,0.4022405942,1
257,225,-0.07455261543,0.3125723203,1
257,241,-0.09513481454,0.1126364072,1
257,257,-0.07379921275,0.02455695461,1
257,273,-0.06068619091,-0.02523247412,1
257,289,0.01373283068,-0.1350175541,1
257,305,0.09524909654,-0.229171912,1
257,321,0.08477775254,-0.1405507725,1
257,337,0.01317207016,-0.3523999852,1
257,353,0.02219955124,-0.2564298314,1
257,369,-0.02213486039,-0.1273366613,1
257,385,-0.0262375673,-0.01398674671,1
257,401,0.01331321395,0.006795723989,1
273,17,0.07278815926,-0.1018640201,1
273,33,0.1143874329,-0.5472299258,1
273,49,0.0545291108,-0.3580800693,1
273,65,-0.0538769561,-0.3316346805,1
273,81,0.01654426277,-0.370426337,1
273,97,0.05749885261,-0.1241628329,1
273,113,-0.005827029354,-0.06472031279,1
273,129,-0.03294380488,-0.01089684172,1
273,145,-0.02250488582,0.05146201448,1
273,161,0.01410667117,0.2409647305,1
273,177,-0.09150322265,0.3315027554,1
273,193,-0.01302536317,0.7650850613,1
273,209,-0.002824862699,0.5690248807,1
273,225,-0.07083328557,0.1653822262,1
273,241,-0.0121460755,0.1639555294,1
273,257,0.003471295086,0.03591521568,1
273,273,0.01308433218,-0.0707246464,1
273,289,-0.01442535716,-0.2563134831,1
273,305,-0.02104004223,-0.3853036565,1
273,321,-0.02184303602,-0.342895667,1
273,337,-0.06031998,-0.2178041143,1
273,353,-0.009145816189,-0.1739522619,1
273,369,-0.008710940707,-0.1924249334,1
273,385,-0.0319596132,-0.02191178032,1
273,401,-0.08913429582,-0.0185968084,1
289,17,0.2734240693,-0.1088544528,1
289,33,0.1691531343,-0.2710439365,1
289,49,0.07975951856,-0.4087526004,1
289,65,-0.04430588062,-0.351972739,1
289,81,0.02482406322,-0.1622525852,1
289,97,0.009113232526,-0.08426682162,1
289,113,-0.05205353079,-0.06114594149,1
289,129,-0.08699997245,0.01358969999,1
289,145,-0.1039582092,0.06033881498,1
289,161,-0.05756195369,0.2100942929,1
289,177,-0.1679192383,0.2810247738,1
289,193,-0.003120501696,0.5158613522,1
289,209,-0.1464920837,0.4096239407,1
289,225,0.06480971983,0.05107291528,1
289,241,0.1073207061,0.07841666525,1
289,257,0.1238497894,0.02064116779,1
289,273,0.2332286041,-0.1044541997,1
289,289,0.0247840087,-0.2564756078,1
289,305,-0.02647598582,-0.4205152196,1
289,321,0.1322173278,-0.4103223485,1
289,337,0.1030024687,-0.1950494451,1
289,353,-0.0582333406,-0.1851236029,1
289,369,-0.1432305177,-0.2120172186,1
289,385,-0.2528820833,-0.09995094967,1
289,401,-0.4583226045,-0.01262299252,1
305,17,0.3028411073,-0.1287461918,1
305,33,0.1802424593,-0.08786408118,1
305,49,0.1379183931,-0.1693040531,1
305,65,-0.02533920578,-0.1536828678,1
305,81,-0.035921176,-0.06758515051,1
305,97,-0.04218109423,-0.1037580173,1
305,113,-0.06569107349,-0.1077081363,1
305,129,-0.1194954711,0.002694924565,1
305,145,-0.2780190307,0.03903563807,1
305,161,-0.3278046447,0.0964620907,1
305,177,-0.2565937835,0.1855181057,1
305,193,-0.08051117245,0.2205522854,1
305,209,-0.001239855939,0.06798156089,1
305,225,0.07319442444,0.01163085286,1
305,241,0.1358336609,-0.01353089033,1
305,257,0.250833432,-0.04585663498,1
305,273,0.1979979675,-0.1469384832,1
305,289,0.1370619933,-0.1884099645,1
305,305,0.05928603812,-0.2001554174,1
305,321,0.05275146169,-0.1651002569,1
305,337,0.05591193835,-0.1978799505,1
305,353,-0.1254387697,-0.2788583441,1
305,369,-0.4606743654,-0.1821099921,1
305,385,-0.3800659975,-0.185381095,1
305,401,-0.35511597,-0.002355734863,1
321,17,0.6814898653,-0.05328003579,1
321,33,0.2525767489,-0.1394159,1
321,49,0.09525291157,-0.1017991703,1
321,65,0.01592055988,-0.09974304848,1
321,81,-0.05622108747,-0.03714768105,1
321,97,-0.08588226608,-0.06060806923,1
321,113,-0.1891384917,-0.03507248574,1
321,129,-0.4519463378,-0.06314675027,1
321,145,-0.2738667327,0.004178841769,1
321,161,-0.2268391448,0.07682021444,1
321,177,-0.1889191467,0.09659560506,1
321,193,-0.03324707331,0.1106642086,1
321,209,0.001850048868,0.008674462458,1
321,225,0.0866049927,0.00825484574,1
321,241,0.292932431,-0.0482961339,1
321,257,0.2287940185,-0.1098043126,1
321,273,0.107265393,-0.1490899724,1
321,289,0.06139938045,-0.09212319085,1
321,305,0.06649581597,-0.07438484859,1
321,321,-0.002374728485,-0.04110542966,1
321,337,-0.03838928539,-0.04918877318,1
321,353,-0.1395970186,-0.09248940186,1
321,369,-0.5023632845,-0.1234819098,1
321,385,-0.4910984835,-0.1321832343,1
321,401,-0.1881104311,-0.09063355166,1
337,17,0.4651850863,-0.1243879002,1
337,33,0.2170905276,-0.1716157597,1
337,49,0.08552734092,-0.09696594889,1
337,65,0.009481350919,-0.05392281229,1
337,81,-0.0652123289,-0.00696770365,1
337,97,-0.09161575604,0.004924615073,1
337,113,-0.1326409178,0.03346999471,1
337,129,-0.2583866911,0.01699050251,1
337,145,-0.3534146147,0.02253325763,1
337,161,-0.09107406911,0.02161391558,1
337,177,-0.03330047904,-0.02837578474,1
337,193,-0.003006060716,-0.04898087204,1
337,209,0.02153197943,-0.01811043443,1
337,225,0.04112044988,-0.005844275391,1
337,241,0.129941861,-0.03400055593,1
337,257,0.1219042938,-0.09867111869,1
337,273,0.0825194519,-0.08699433038,1
337,289,0.0799788635,-0.1027146978,1
337,305,0.0831526916,-0.03341881467,1
337,321,0.01537696525,-0.003765265494,1
337,337,-0.04137619335,-0.007328192754,1
337,353,-0.08732231459,0.05709250731,1
337,369,-0.1379814943,-0.001718680444,1
337,385,-0.335245212,-0.1011773749,1
337,401,-0.9512654146,-0.0733625098,1
353,17,0.6637171908,0.03248008077,1
353,33,0.1091059847,0.03768714254,1
353,49,0.05865852075,0.06004317586,1
353,65,0.05957023339,0.05703337972,1
353,81,-0.01393326089,0.04716475789,1
353,97,0.01239005757,-0.0318929356,1
353,113,-0.04564865399,-0.001926581236,1
353,129,-0.3064862089,0.03355773272,1
353,145,-0.2647286253,-0.01034180342,1
353,161,-0.1834679442,-0.1529866856,1
353,177,-0.1352883178,-0.09716812791,1
353,193,0.0255927247,-0.2124349279,1
353,209,0.1038760346,-0.1335584325,1
353,225,0.2322329682,-0.07249466605,1
353,241,0.3163565796,-0.1488439245,1
353,257,0.179645459,-0.04184166621,1
353,273,0.1617697876,-0.04016892147,1
353,289,0.215589444,-0.1149236365,1
353,305,0.08444778133,0.006610711067,1
353,321,0.02425185845,0.04500754638,1
353,337,-0.02695091563,0.04932387633,1
353,353,-0.227287372,0.07100470823,1
353,369,-0.4869538149,0.007659752775,1
353,385,-0.7571965059,-0.005815665321,1
353,401,-0.45475777,0.01161940853,1
369,17,0.1035498782,0.0217588741,1
369,33,0.01133910854,0.14025863,1
369,49,-0.03321846288,0.2298239071,1
369,65,-0.02515419287,0.1962946254,1
369,81,-0.02044113441,0.1585310299,1
369,97,0.04828254416,0.002696831849,1
369,113,0.01366416646,-0.04821221052,1
369,129,-0.1288910704,-0.05566040694,1
369,145,-0.1306038695,-0.04322830857,1
369,161,-0.05603988939,-0.2781373662,1
369,177,-0.04114349658,-0.2353803319,1
369,193,-0.006286700331,-0.2352201147,1
369,209,0.002695004368,-0.219383399,1
369,225,0.08802215279,-0.1549569769,1
369,241,0.2157344025,-0.279728095,1
369,257,0.1102637452,-0.04686180783,1
369,273,0.04855910952,-0.002725760482,1
369,289,0.03706733398,0.0355833368,1
369,305,0.08019630124,0.2640055017,1
369,321,-0.08873565986,0.09433158202,1
369,337,-0.1972065766,0.1970213251,1
369,353,-0.229158481,0.1583612756,1
369,369,-0.2444248995,0.08973677914,1
369,385,-0.2285405001,0.01487143795,1
369,401,-0.2631016573,0.00286658565,1
385,17,0.1251029178,0.0594881374,1
385,33,-0.05608375827,0.2399195034,1
385,49,-0.05614288608,0.4161604244,1
385,65,0.06111137111,0.3665655452,1
385,81,0.1118678256,0.1471918422,1
385,97,0.003370205918,0.1070059139,1
385,113,-0.01034744547,0.003904183515,1
385,129,-0.1068516569,-0.0615331334,1
385,145,-0.09868820479,-0.1335221929,1
385,161,-0.02108581833,-0.3881665868,1
385,177,0.02291289992,-0.6410276098,1
385,193,0.122041623,-0.3839818639,1
385,209,0.1579169435,-0.3619653387,1
385,225,0.1693534059,-0.3429681463,1
385,241,0.09362403572,-0.2269975348,1
385,257,0.06954757391,-0.06680123046,1
385,273,0.2118510407,-0.01076904968,1
385,289,0.1748465698,0.06782325073,1
385,305,0.1329592865,0.3447531061,1
385,321,-0.03494461371,0.2235143976,1
385,337,-0.05624397593,0.2982920007,1
385,353,-0.06218918165,0.3095377282,1
385,369,-0.08472069108,0.3140714959,1
385,385,-0.08067138996,0.003764946859,1
385,401,-0.1445179781,-0.05113999089,1
401,17,0.02938453397,0.138852914,1
401,33,-0.01062401095,0.295348962,1
401,49,0.1322497531,0.5142381984,1
401,65,0.128879468,0.4086893398,1
401,81,0.1791819735,0.1751516658,1
401,97,0.09268562035,0.1962278682,1
401,113,0.01664535239,0.1434019405,1
401,129,0.01049796773,0.04815657912,1
401,145,-0.1104412871,-0.07936302844,1
401,161,-0.001072009119,-0.4075090093,1
401,177,0.05162803359,-0.7622529668,1
401,193,0.1131667299,-0.8068181677,1
401,209,0.2040957612,-0.2760259314,1
401,225,0.06925384227,-0.2647077246,1
401,241,0.06806937875,-0.277807395,1
401,257,0.08532516181,-0.09175316528,1
401,273,0.07529250798,-0.09903160767,1
401,289,0.1352519196,0.03708823485,1
401,305,0.1258658569,0.333690484,1
401,321,0.02642814325,0.2214811639,1
401,337,0.1180648009,0.2553270654,1
401,353,0.1013373534,0.379865487,1
401,369,0.08958427108,0.3604811029,1
401,385,0.04723159466,0.02771933834,1
401,401,0.05134193095,-0.002029578289,1
